roles
3D-grafiker
Administratör
Advokat
Agronom 
Anläggningsarbetare 
Anläggningsdykare
Anläggningsingenjör inom järnväg
Apotekare
Apotekstekniker
Arbetsledare inom järnväg
Arbetsmiljöingenjör
Arbetsmiljöinspektör
Arbetsterapeut
Arkeolog
Arkitekt 
Art director
Asfaltsarbetare/Beläggningsarbetare
Au pair
Audionom
Automationstekniker
Bagare
Bangårdsarbetare
Bantekniker
Barnskötare
Banktjänsteman
Barnmorska
Bartender 
Behandlingsassistent
Bergarbetare
Betongarbetare
Bibliotekarie
Bilförsäljare
Bilskadereparatör
Bilrekonditionerare
Biolog
Biomedicinsk analytiker
Bloggare
Boendestödjare
Bokbindare
Brandingenjör
Brandman
Brevbärare
Bussförare
Butikschef
Byggingenjör
Byggnadsplåtslagare
Båtbyggare
Civilingenjör
CNC-operatör
Controller
Copywriter
Dansare
Dietist
Djurskötare
Drifttekniker
Ekonom
Ekonomiassistent
Elektriker
El- och kontaktledningtekniker
Elevassistent
Entreprenör
Eventkoordinator
Fartygsbefäl
Fastighetsmäklare
Fastighetsförvaltare
Fastighetsingenjör
Fastighetsskötare
Fastighetstekniker
Fastighetsvärd
Florist
Flygledare
Flygmekaniker
Flygvärdinna/Flygvärd
Fordonsmontör
Fordonslackerare
Fotograf
Fotterapeut
Frisör
Fritidsledare
Fritidspedagog
Fysiker
Fysioterapeut
Författare
Förskollärare
Geolog/geovetaryrken
GIS-ingenjör
Glasmästare
Golvläggare
Grafisk formgivare
Grundskollärare
Gruvarbetare
Guide
Guldsmed
Gymnasielärare
Gynekolog
Hotellreceptionist
Hovmästare
Hovslagare
Hudterapeut
Håltagare
Hästskötare
Idrottslärare
Influencer
Ingenjör
Ingenjör Bygg
Inköpare
Innovatör
Inredningsarkitekt
Inredningssnickare
IT-arkitekt
Journalist
Jurist 
Jägmästare
Kemist
Kiropraktor
Kock
Kommunikatör/Informatör
Konditor
Konferensvärd
Konsult
Kranförare
Kriminalvårdare
Kriminolog
Kundtjänstmedarbetare
Kurator
Kyl- och värmepumpstekniker 
Lagerarbetare
Landskapsarkitekt
Lantbrukare
Lantmätare
Larm- och säkerhetstekniker
Lastbilsmekaniker
Lastbilsförare
Ljudtekniker
Logistiker
Logoped
Lokförare
Låssmed
Läkare 
Läkarsekreterare
Lärarassistent
Lärare
Makeupartist
Marknadsassistent
Marknadsförare
Marknadskoordinator
Maskinförare
Maskinförare (lantbruk)
Maskinmekaniker
Maskiningenjör
Massör
Matros
Miljövårdsyrken
Motorman
Murare
Musiker
Målare
Mäklare
Möbelsnickare
Nagelterapeut
Nationalekonom
Nautiskt befäl
Nätverkstekniker
Optiker
Originalare/Prepresstekniker
Ortoped
Personbilsmekaniker
Personlig assistent
Personlig tränare
Pilot
Plattsättare
Polis
PR-ansvarig
Processoperatör
Projektledare
Projektchef inom järnväg
Projektör inom järnväg
Projektledare inom järnväg
Produktionstekniker
Programmerare
Präst
Psykolog
Receptarie
Redovisningskonsult
Rektor
Renhållningsarbetare
Reservdelsspecialist
Resesäljare
Revisor
Röntgensjuksköterska
Saneringsarbetare
Servitör
Signaltekniker
Sjukgymnast
Sjuksköterska
Skogsmaskinförare
Skogsmästare
Skräddare
Skådespelare
Skötare inom psykiatrisk vård
Slaktare/Styckare
Smed
Snickare/träarbetare
Social media manager
Socialsekreterare
Socionom 
Socialpedagog
Soldat
SOS-/Larmoperatör
Sotare/skorstensfejare
Speciallärare/Specialpedagog
Specialistundersköterska
Spelutvecklare
Spårsvetsare
Stenmontör
Studie- och yrkesvägledare
Ställningsbyggare
Svetsare
Systemförvaltare
Systemutvecklare
IT-Säkerhetsansvarig
Säljare
Takmontör
Tandhygienist
Tandläkare
Tandsköterska/skötare
Tandtekniker
Tatuerare
Tekniskt befäl
Teknisk specialist
Testledare
Tolk
Tågtrafikledare
Trafiklärare
Travtränare
Tryckare
Trädgårdsingenjör
Trädgårdsmästare
Tulltjänsteman
Turistinformatör
Tvätteriarbetare
Tågreparatör
Tågtekniker
Tågtrafikledare
Tågvärd
Undersköterska
Undertaksmontör
Universitets- och högskolelärare
Utredare
Webbanalytiker
Webbdesigner
Webbredaktör
Ventilationsmontör
Verkstadssnickare
Verktygsmakare
Veterinär
VVS-montör/Rörmokare
Väktare
Återvinningsarbetare
Översättare
.NET-utvecklare
3D-grafiker
AI-tränare
Användbarhetsexpert
Användbarhetsarkitekt
Applikationsutvecklare
Back-end utvecklare
Cross media producer
Cybersoldat
Databasspecialist
Databasadministratör
Dataingenjör
Dataspelsutvecklare
Datasäkerhetsansvarig
Datavetare
Datatekniker
DevOps-integrerare
Digital designer
Digital kommunikatör
Drifttekniker inom IT
Embeddedutvecklare
Etisk hackare
Front-end utvecklare
Fullstack-utvecklare
GIS-utvecklare
Hårdvarudesigner
Informationsarkitekt
Ingenjör inom data/elektronik
Interaktionsdesigner
IT Tekniker / Nätverkstekniker
"IT-ansvarig, IT-samordnare"
IT-arkitekt
IT-artist
IT-chef
IT-direktör
IT-forensiker
IT-konsult
IT-molnspecialist
IT-projektledare
IT-specialist
IT-strateg
IT-tekniker
Kvalitetssäkrare/testare inom IT
Leveldesigner
Mjukvarudesigner
Networker
Nätverksadministratör
PHP utvecklare
Produktvisualiserare
Programmerare
SEO-specialist
Supporttekniker
Systemadministratör
Systemarkitekt
Systemförvaltare
Systemintegratör
Systemtekniker
Systemtestare
Systemutvecklare
Systemägare
Säkerhetsansvarig IT
Sökmotoroptimerare
Testledare
UX-designer
VFX-artist
VR-utvecklare
Webbanalytiker
Webbansvarig
Webbdesigner
Webbmaster
Webbproducent
Webbredaktör
Webbstrateg
Webbutvecklare
